ABALOPARATIDA,
ABROCITINIB,
ACETATO DE REZAFUNGINA,
ACORAMIDIS,
ADALIMUMAB,
AFAMELANOTIDA,
AFLIBERCEPT,
ALEMTUZUMAB,
AMIFAMPRIDA,
AMIVANTAMAB,
ANDEXANET ALFA,
ANGIOTENSINA II,
ANIFROLUMAB,
ARACHIS HYPOGAEA,
ARTESUNATO,
ASCIMINIB,
ASFOTASA ALFA,
ATIDARSAGÉN AUTOTEMCEL,
ATOGEPANT,
AVACOPÁN,
AVALGLUCOSIDASA ALFA,
AVAPRITINIB,
AVATROMBOPAG,
AXICABTAGEN CILOLEUCEL,
BELANTAMAB MAFODOTINA,
BELIMUMAB,
BELZUTIFÁN,
BEREMAGÉN GEPERPAVEC,
BEROTRALSTAT,
BEVACIZUMAB,
BIMEKIZUMAB,
BLINATUMOMAB,
BREXUCABTAGÉN AUTOLEUCEL,
BROMURO UMECLIDINIO,
BUDESONIDA,
BULEVIRTIDA,
CABOTEGRAVIR,
CAPIVASERTIB,
CAPMATINIB,
CATUMAXOMAB,
CEFEPIMA + ENMETAZOBACTAM,
CEMIPLIMAB,
CENOBAMATO,
CERLIPONASA ALFA,
CIDOFOVIR,
CILTACABTAGÉN AUTOLEUCEL,
CIPAGLUCOSIDASA ALFA,
CLASCOTERONA,
CLOFARABINA,
CLORMADINONA + ETINILESTRADIOL,
CONCIZUMAB,
CRISANTASPASA,
CROVALIMAB,
DANICOPÁN,
DARIDOREXANT,
DAROLUTAMIDA,
DECITABINA + CEDAZURIDINA,
DELAMANID,
DELGOCITINIB,
DENOSUMAB,
DERMATOPHAGOIDES PTERONYSSINUS + DERMATOPHAGOIDES FARINAE,
DEUCRAVACITINIB,
DEUTIVACAFTOR + TEZACAFTOR + VANZACAFTOR,
DIFELICEFALINA,
DIFLUNISAL,
DINUTUXIMAB BETA,
DONAMEMAB,
DONIDALORSEN,
DOPAMINA,
DOSTARLIMAB,
ECULIZUMAB,
EFANESOCTOCOG ALFA,
EFGARTIGIMOD ALFA,
ELACESTRANT,
ELADOCAGÉN EXUPARVOVEC,
ELAFIBRANOR,
ELIGLUSTAT,
ELOSULFASA ALFA,
ELRANATAMAB,
ENFORTUMAB VEDOTINA,
ENTRECTINIB,
EPCORITAMAB,
EPLONTERSÉN,
EPTACOG BETA,
EPTINEZUMAB,
ERDAFITINIB,
ESPARSENTÁN,
ESPESOLIMAB,
ETRANACOGÉN DEZAPARVOVEC,
ETRASIMOD,
EVINACUMAB,
EXAGAMGLOGÉN AUTOTEMCEL,
FARICIMAB,
FENFLURAMINA,
FEZOLINETANT,
FINERENONA,
FOSTAMATINIB,
FRUQUINTINIB,
FUTIBATINIB,
GADOPICLENOL,
GANAXOLONA,
GARADACIMAB,
GEFAPIXANT,
GIVINOSTAT,
GLOFITAMAB,
GLUCARPIDASA,
GOLIMUMAB,
GONADOTROPINA CORIÓNICA,
GOZETOTIDA,
GUANFACINA,
GUSELKUMAB,
HISTAMINA DIHIDROCLORURO,
HORMONA PARATIROIDEA,
IDEBENONA,
IDECABTAGÉN VICLEUCEL,
IDURSULFASA,
IMLIFIDASA,
INAVOLISIB,
INEBILIZUMAB,
INMUNOGLOBULINA ANTIRRÁBICA HUMANA,
INMUNOGLOBULINA G HUMANA,
IPTACOPÁN,
ISOTRETINOÍNA,
IVOSIDENIB,
LAROTRECTINIB,
LASMIDITÁN,
LAZERTINIB,
LEBRIKIZUMAB,
LECANEMAB,
LEDIPASVIR + SOFOSBUVIR,
