adalimumab,
abemaciclib,
acalabrutinib,
acitretin | alitretinoin | isotretinoin,
aclidinium bromide,
aclidinium bromide/formoterol fumarate dihydrate,
afamelanotide,
albutrepenonacog alfa,
alectinib,
alemtuzumab,
allergen extract of pollen from birch | alder and hazel,
allergen extract of pollen from birch,
alpelisib,
amifampridine,
andexanet alfa,
angiotensin ii acetate,
anthrax antigen filtrate,
apalutamide,
asfotase alfa,
ataluren,
atezolizumab,
autologous anti-cd19-transduced cd3+ cells,
autologous cd34+ cell enriched population that contains hematopoietic stem and progenitor cells transduced ex vivo using a lentiviral vector encoding the human arylsulfatase a gene,
autologous cd34+ enriched cell fraction that contains cd34+ cells transduced with retroviral vector that encodes for the human ada cdna sequence,
avapritinib,
avatrombopag,
avelumab,
axicabtagene ciloleucel,
baloxavir marboxil,
baricitinib,
bedaquiline,
belantamab mafodotin,
belimumab,
bempedoic acid / ezetimibe,
bempedoic acid,
benralizumab,
bevacizumab,
bezlotoxumab,
bictegravir / emtricitabine / tenofovir alafenamide,
binimetinib,
blinatumomab,
bosutinib,
botulinum toxin type a,
brentuximab vedotin,
brexpiprazole,
brigatinib,
brodalumab,
brolucizumab,
bulevirtide,
buprenorphine,
burosumab,
c1 inhibitor | human,
cabotegravir,
cabozantinib,
caplacizumab,
cariprazine,
cefiderocol,
ceftazidime / avibactam,
cemiplimab,
cenegermin,
ceritinib,
cerliponase alfa,
chenodeoxycholic acid,
chlormadinone ethinylestradiol | chlormadinone acetate ethinylestradiol,
cholera vaccine (recombinant | live | oral),
cholic acid,
cidofovir,
clofarabine,
concentrate of proteolytic enzymes enriched in bromelain,
covid-19 mrna vaccine (nucleoside modified),
covid-19 vaccine (chadox1-s [recombinant]),
crisaborole,
crizanlizumab,
cyproterone acetate and ethinylestradiol,
dacomitinib,
damoctocog alfa pegol,
daratumumab,
darolutamide,
darunavir / cobicistat / emtricitabine / tenofovir alafenamide,
darvadstrocel,
dasabuvir,
deferasirox,
defibrotide,
delafloxacin,
delamanid,
dengue tetravalent vaccine (live | attenuated),
dexamfetamine sulphate,
dinutuximab beta,
dolutegravir / rilpivirine,
doravirine / lamivudine / tenofovir disoproxil,
doravirine,
dupilumab,
durvalumab,
ebola vaccine (ad26.zebov-gp [recombinant]),
ebola vaccine (mva-bn-filo [recombinant]),
ebola zaire vaccine (rvsv?g-zebov-gp | live),
edotreotide,
edoxaban,
eftrenonacog alfa,
elbasvir / grazoprevir,
eliglustat,
elosulfase alfa,
emicizumab,
empagliflozin/linagliptin,
emtricitabine/tenofovir alafenamide,
encorafenib,
enoxaparin sodium,
enoxaparinum natricum,
entrectinib,
eravacycline,
erenumab,
ertugliflozin / metformin hydrochloride,
ertugliflozin / sitagliptin,
ertugliflozin,
